size_kb,decompress_time_sec
9230.000,3.268
9240.000,3.253
9250.000,3.189
9260.000,3.131
9270.000,3.180
9280.000,3.227
9290.000,3.240
9300.000,3.188
9310.000,3.178
9320.000,3.289
9330.000,3.320
9340.000,3.249
9350.000,3.200
9360.000,3.219
9370.000,3.187
9380.000,3.335
9390.000,3.210
9400.000,3.290
9410.000,3.248
9420.000,3.289
9430.000,3.308
9440.000,3.337
9450.000,3.239
9460.000,3.215
9470.000,3.234
9480.000,3.354
9490.000,3.358
9500.000,3.317
9510.000,3.324
9520.000,3.337
9530.000,3.267
9540.000,3.391
9550.000,3.318
9560.000,3.316
9570.000,3.339
9580.000,3.257
9590.000,3.274
9600.000,3.372
9610.000,3.264
9620.000,3.345
9630.000,3.295
9640.000,3.315
9650.000,3.296
9660.000,3.307
9670.000,3.363
9680.000,3.290
9690.000,3.338
9700.000,3.316
9710.000,3.349
9720.000,3.389
9730.000,3.365
9740.000,3.284
9750.000,3.256
9760.000,3.291
9770.000,3.341
9780.000,3.251
9790.000,3.324
9800.000,3.347
9810.000,3.303
9820.000,3.370
9830.000,3.262
9840.000,3.257
9850.000,3.357
9860.000,3.316
9870.000,3.355
9880.000,3.322
9890.000,3.288
9900.000,3.383
9910.000,3.382
9920.000,3.363
9930.000,3.294
9940.000,3.353
9950.000,3.319
9960.000,3.276
9970.000,3.416
9980.000,3.298
9990.000,3.434
10000.000,3.356
10010.000,3.316
10020.000,3.371
10030.000,3.434
10040.000,3.413
10050.000,3.426
10060.000,3.402
10070.000,3.406
10080.000,3.428
10090.000,3.333
10100.000,3.374
10110.000,3.328
10120.000,3.447
10130.000,3.441
10140.000,3.302
10150.000,3.412
10160.000,3.445
10170.000,3.329
10180.000,3.392
10190.000,3.444
10200.000,3.310
10210.000,3.418
10220.000,3.351
10230.000,3.462
10240.000,3.478
10250.000,3.471
10260.000,3.407
10270.000,3.473
10280.000,3.471
10290.000,3.389
10300.000,3.472
10310.000,3.354
10320.000,3.443
10330.000,3.392
10340.000,3.377
10350.000,3.369
10360.000,3.471
10370.000,3.417
10380.000,3.487
10390.000,3.392
10400.000,3.435
10410.000,3.464
10420.000,3.507
10430.000,3.434
10440.000,3.487
10450.000,3.532
10460.000,3.493
10470.000,3.435
10480.000,3.404
10490.000,3.541
10500.000,3.412
10510.000,3.551
10520.000,3.504
10530.000,3.571
10540.000,3.549
10550.000,3.579
10560.000,3.478
10570.000,3.549
10580.000,3.496
10590.000,3.518
