size_kb,decompress_time_sec
5210.000,1.826
5220.000,1.831
5230.000,1.817
5240.000,1.821
5250.000,1.838
5260.000,1.841
5270.000,1.847
5280.000,1.836
5290.000,1.814
5300.000,1.810
5310.000,1.801
5320.000,1.789
5330.000,1.778
5340.000,1.780
5350.000,1.776
5360.000,1.763
5370.000,1.763
5380.000,1.763
5390.000,1.767
5400.000,1.773
5410.000,1.767
5420.000,1.770
5430.000,1.783
5440.000,1.777
5450.000,1.765
5460.000,1.771
5470.000,1.783
5480.000,1.795
5490.000,1.809
5500.000,1.800
5510.000,1.802
5520.000,1.814
5530.000,1.817
5540.000,1.835
5550.000,1.836
5560.000,1.836
5570.000,1.839
5580.000,1.843
5590.000,1.872
5600.000,1.896
5610.000,1.922
5620.000,1.910
5630.000,1.914
5640.000,1.913
5650.000,1.917
5660.000,1.938
5670.000,1.938
5680.000,1.927
5690.000,1.924
5700.000,1.946
5710.000,1.954
5720.000,1.945
5730.000,1.936
5740.000,1.924
5750.000,1.924
5760.000,1.938
5770.000,1.930
5780.000,1.931
5790.000,1.939
5800.000,1.966
5810.000,1.992
5820.000,2.009
5830.000,2.023
5840.000,2.014
5850.000,1.994
5860.000,1.976
5870.000,1.978
5880.000,1.984
5890.000,2.000
5900.000,2.005
5910.000,1.994
5920.000,2.011
5930.000,2.017
5940.000,2.023
5950.000,2.007
5960.000,1.988
5970.000,2.004
5980.000,2.011
5990.000,2.014
6000.000,2.019
6010.000,2.020
6020.000,2.021
6030.000,2.028
6040.000,2.011
6050.000,1.987
6060.000,1.964
6070.000,1.953
6080.000,1.952
6090.000,1.940
6100.000,1.940
6110.000,1.945
6120.000,1.960
6130.000,1.976
6140.000,1.967
6150.000,1.953
6160.000,1.952
6170.000,1.957
6180.000,1.954
6190.000,1.960
6200.000,1.979
6210.000,1.993
6220.000,1.990
6230.000,1.992
6240.000,2.008
6250.000,2.008
6260.000,2.002
6270.000,2.002
6280.000,2.017
6290.000,2.035
6300.000,2.038
6310.000,2.041
6320.000,2.056
6330.000,2.048
6340.000,2.063
6350.000,2.082
6360.000,2.083
6370.000,2.079
6380.000,2.063
6390.000,2.063
6400.000,2.080
6410.000,2.098
6420.000,2.093
6430.000,2.124
6440.000,2.139
6450.000,2.136
6460.000,2.128
6470.000,2.125
6480.000,2.143
6490.000,2.137
6500.000,2.148
6510.000,2.162
6520.000,2.152
6530.000,2.163
6540.000,2.149
6550.000,2.156
6560.000,2.172
6570.000,2.170
6580.000,2.187
6590.000,2.191
6600.000,2.178
6610.000,2.179
6620.000,2.177
6630.000,2.183
6640.000,2.212
6650.000,2.215
6660.000,2.213
6670.000,2.217
6680.000,2.200
6690.000,2.182
6700.000,2.185
6710.000,2.186
6720.000,2.185
6730.000,2.169
6740.000,2.183
6750.000,2.178
6760.000,2.179
6770.000,2.182
6780.000,2.174
6790.000,2.189
6800.000,2.197
6810.000,2.192
6820.000,2.185
6830.000,2.173
6840.000,2.180
6850.000,2.200
6860.000,2.201
6870.000,2.205
6880.000,2.208
6890.000,2.186
6900.000,2.189
6910.000,2.207
6920.000,2.199
6930.000,2.193
6940.000,2.225
6950.000,2.216
6960.000,2.215
6970.000,2.216
6980.000,2.220
6990.000,2.211
7000.000,2.222
7010.000,2.211
7020.000,2.213
7030.000,2.214
7040.000,2.205
7050.000,2.207
7060.000,2.216
7070.000,2.241
7080.000,2.253
7090.000,2.240
7100.000,2.228
7110.000,2.233
7120.000,2.235
7130.000,2.249
7140.000,2.260
7150.000,2.249
7160.000,2.228
7170.000,2.228
7180.000,2.232
7190.000,2.208
7200.000,2.210
7210.000,2.230
7220.000,2.235
7230.000,2.252
7240.000,2.263
7250.000,2.261
7260.000,2.266
7270.000,2.266
7280.000,2.258
7290.000,2.280
7300.000,2.274
7310.000,2.270
7320.000,2.246
7330.000,2.237
7340.000,2.252
7350.000,2.261
7360.000,2.261
7370.000,2.264
7380.000,2.253
7390.000,2.251
7400.000,2.252
7410.000,2.251
7420.000,2.271
7430.000,2.273
7440.000,2.275
7450.000,2.278
7460.000,2.264
7470.000,2.279
7480.000,2.265
7490.000,2.268
7500.000,2.266
7510.000,2.286
7520.000,2.297
7530.000,2.305
7540.000,2.294
7550.000,2.296
7560.000,2.294
7570.000,2.309
7580.000,2.327
7590.000,2.332
7600.000,2.335
7610.000,2.352
7620.000,2.365
7630.000,2.382
7640.000,2.380
7650.000,2.380
7660.000,2.398
7670.000,2.382
7680.000,2.396
7690.000,2.398
7700.000,2.415
7710.000,2.432
7720.000,2.436
7730.000,2.454
7740.000,2.440
7750.000,2.450
7760.000,2.433
7770.000,2.426
7780.000,2.419
7790.000,2.412
7800.000,2.422
7810.000,2.423
7820.000,2.413
7830.000,2.395
7840.000,2.381
7850.000,2.371
7860.000,2.375
7870.000,2.363
7880.000,2.361
7890.000,2.361
7900.000,2.365
7910.000,2.371
7920.000,2.378
7930.000,2.365
7940.000,2.368
7950.000,2.356
7960.000,2.345
7970.000,2.347
7980.000,2.334
7990.000,2.339
8000.000,2.336
8010.000,2.341
8020.000,2.362
8030.000,2.376
8040.000,2.389
8050.000,2.382
8060.000,2.386
8070.000,2.404
8080.000,2.413
8090.000,2.414
8100.000,2.417
8110.000,2.415
8120.000,2.419
8130.000,2.423
8140.000,2.439
8150.000,2.443
8160.000,2.432
8170.000,2.446
8180.000,2.461
8190.000,2.463
8200.000,2.479
8210.000,2.481
8220.000,2.470
8230.000,2.473
8240.000,2.488
8250.000,2.488
8260.000,2.502
8270.000,2.499
8280.000,2.487
8290.000,2.480
8300.000,2.495
8310.000,2.512
8320.000,2.501
8330.000,2.516
8340.000,2.537
8350.000,2.540
8360.000,2.532
8370.000,2.563
8380.000,2.568
8390.000,2.576
8400.000,2.589
8410.000,2.604
8420.000,2.614
8430.000,2.606
8440.000,2.607
8450.000,2.597
8460.000,2.612
8470.000,2.627
8480.000,2.627
8490.000,2.618
8500.000,2.620
8510.000,2.607
8520.000,2.597
8530.000,2.600
8540.000,2.601
8550.000,2.592
8560.000,2.578
8570.000,2.594
8580.000,2.586
8590.000,2.572
8600.000,2.572
8610.000,2.575
8620.000,2.565
8630.000,2.550
8640.000,2.564
8650.000,2.568
8660.000,2.552
8670.000,2.532
8680.000,2.544
8690.000,2.558
8700.000,2.559
8710.000,2.561
8720.000,2.576
8730.000,2.582
8740.000,2.580
8750.000,2.584
8760.000,2.599
8770.000,2.604
8780.000,2.610
8790.000,2.640
8800.000,2.646
8810.000,2.652
8820.000,2.651
8830.000,2.664
8840.000,2.664
8850.000,2.681
8860.000,2.683
8870.000,2.674
8880.000,2.681
8890.000,2.670
8900.000,2.655
8910.000,2.678
8920.000,2.682
8930.000,2.676
8940.000,2.685
8950.000,2.716
8960.000,2.705
8970.000,2.680
8980.000,2.682
8990.000,2.686
9000.000,2.685
9010.000,2.674
9020.000,2.680
9030.000,2.678
9040.000,2.652
9050.000,2.674
9060.000,2.689
9070.000,2.691
9080.000,2.699
9090.000,2.714
9100.000,2.706
9110.000,2.719
9120.000,2.730
9130.000,2.749
9140.000,2.761
9150.000,2.789
9160.000,2.774
9170.000,2.804
9180.000,2.803
9190.000,2.809
9200.000,2.783
9210.000,2.803
9220.000,2.824
9230.000,2.839
9240.000,2.859
9250.000,2.879
9260.000,2.893
9270.000,2.890
9280.000,2.913
9290.000,2.930
9300.000,2.924
9310.000,2.916
9320.000,2.926
9330.000,2.932
9340.000,2.924
9350.000,2.941
9360.000,2.946
9370.000,2.932
9380.000,2.931
9390.000,2.925
9400.000,2.916
9410.000,2.916
9420.000,2.906
9430.000,2.924
9440.000,2.907
9450.000,2.910
9460.000,2.901
9470.000,2.898
9480.000,2.903
9490.000,2.900
9500.000,2.888
9510.000,2.887
9520.000,2.895
9530.000,2.888
9540.000,2.886
9550.000,2.892
9560.000,2.893
9570.000,2.876
9580.000,2.873
9590.000,2.892
9600.000,2.898
9610.000,2.900
9620.000,2.907
9630.000,2.922
9640.000,2.920
9650.000,2.924
9660.000,2.942
9670.000,2.930
9680.000,2.933
9690.000,2.948
9700.000,2.948
9710.000,2.946
9720.000,2.948
9730.000,2.934
9740.000,2.940
9750.000,2.945
9760.000,2.957
9770.000,2.970
9780.000,2.963
9790.000,2.970
9800.000,2.953
9810.000,2.964
9820.000,2.974
9830.000,2.975
9840.000,2.958
9850.000,2.937
9860.000,2.924
9870.000,2.924
9880.000,2.922
9890.000,2.912
9900.000,2.897
9910.000,2.896
9920.000,2.894
9930.000,2.879
9940.000,2.878
9950.000,2.896
9960.000,2.899
9970.000,2.898
9980.000,2.900
9990.000,2.887
10000.000,2.886
10010.000,2.891
10020.000,2.891
10030.000,2.909
10040.000,2.898
10050.000,2.901
10060.000,2.890
10070.000,2.894
10080.000,2.892
10090.000,2.899
10100.000,2.906
10110.000,2.908
10120.000,2.910
10130.000,2.886
10140.000,2.893
10150.000,2.915
10160.000,2.932
10170.000,2.936
10180.000,2.939
10190.000,2.945
10200.000,2.935
10210.000,2.938
10220.000,2.948
10230.000,2.965
10240.000,2.978
10250.000,2.993
10260.000,2.990
10270.000,2.994
10280.000,2.995
10290.000,3.009
10300.000,3.010
10310.000,3.036
10320.000,3.031
10330.000,3.024
10340.000,3.022
10350.000,3.022
10360.000,3.026
10370.000,3.029
10380.000,3.033
10390.000,3.033
10400.000,3.017
10410.000,3.004
10420.000,3.034
10430.000,3.039
10440.000,3.043
10450.000,3.056
10460.000,3.070
10470.000,3.053
10480.000,3.054
10490.000,3.061
10500.000,3.046
10510.000,3.055
10520.000,3.063
10530.000,3.049
10540.000,3.063
10550.000,3.084
10560.000,3.063
10570.000,3.075
10580.000,3.090
10590.000,3.108
10600.000,3.118
10610.000,3.133
10620.000,3.148
10630.000,3.147
10640.000,3.164
10650.000,3.167
10660.000,3.169
10670.000,3.165
10680.000,3.167
10690.000,3.151
10700.000,3.140
10710.000,3.129
10720.000,3.149
10730.000,3.137
10740.000,3.127
10750.000,3.145
10760.000,3.143
10770.000,3.122
10780.000,3.149
10790.000,3.128
10800.000,3.125
10810.000,3.127
10820.000,3.131
10830.000,3.118
10840.000,3.120
10850.000,3.121
10860.000,3.117
10870.000,3.128
10880.000,3.134
10890.000,3.139
10900.000,3.138
10910.000,3.155
10920.000,3.147
10930.000,3.145
10940.000,3.178
10950.000,3.208
10960.000,3.210
10970.000,3.196
10980.000,3.197
10990.000,3.213
11000.000,3.219
11010.000,3.234
11020.000,3.238
11030.000,3.221
11040.000,3.236
11050.000,3.228
11060.000,3.249
11070.000,3.236
11080.000,3.242
11090.000,3.239
11100.000,3.260
11110.000,3.250
11120.000,3.244
11130.000,3.254
11140.000,3.270
11150.000,3.280
11160.000,3.265
11170.000,3.257
11180.000,3.278
11190.000,3.255
11200.000,3.233
11210.000,3.237
11220.000,3.259
11230.000,3.264
11240.000,3.267
11250.000,3.278
11260.000,3.250
11270.000,3.254
11280.000,3.253
11290.000,3.257
11300.000,3.272
11310.000,3.272
11320.000,3.291
11330.000,3.294
11340.000,3.306
11350.000,3.299
11360.000,3.306
11370.000,3.308
11380.000,3.303
11390.000,3.276
11400.000,3.289
11410.000,3.299
11420.000,3.298
11430.000,3.288
11440.000,3.316
11450.000,3.315
11460.000,3.335
11470.000,3.333
11480.000,3.352
11490.000,3.350
11500.000,3.359
11510.000,3.365
11520.000,3.382
11530.000,3.402
11540.000,3.416
11550.000,3.404
11560.000,3.397
11570.000,3.403
11580.000,3.421
11590.000,3.419
11600.000,3.412
11610.000,3.430
11620.000,3.423
11630.000,3.430
11640.000,3.457
11650.000,3.457
11660.000,3.442
11670.000,3.464
11680.000,3.485
11690.000,3.488
11700.000,3.490
11710.000,3.470
11720.000,3.474
11730.000,3.471
11740.000,3.464
11750.000,3.445
11760.000,3.461
11770.000,3.466
11780.000,3.463
11790.000,3.451
11800.000,3.466
11810.000,3.488
11820.000,3.482
11830.000,3.467
11840.000,3.454
11850.000,3.469
11860.000,3.464
11870.000,3.493
11880.000,3.505
11890.000,3.480
11900.000,3.466
11910.000,3.470
11920.000,3.460
11930.000,3.454
11940.000,3.426
11950.000,3.437
11960.000,3.465
11970.000,3.451
11980.000,3.441
11990.000,3.458
12000.000,3.475
12010.000,3.465
12020.000,3.447
12030.000,3.440
12040.000,3.457
12050.000,3.464
12060.000,3.441
12070.000,3.434
12080.000,3.434
12090.000,3.455
12100.000,3.444
12110.000,3.435
12120.000,3.408
12130.000,3.413
12140.000,3.417
12150.000,3.440
12160.000,3.450
12170.000,3.467
12180.000,3.466
12190.000,3.485
12200.000,3.497
12210.000,3.492
12220.000,3.495
12230.000,3.498
12240.000,3.486
12250.000,3.462
12260.000,3.461
12270.000,3.478
12280.000,3.494
12290.000,3.486
12300.000,3.489
12310.000,3.491
12320.000,3.495
12330.000,3.508
12340.000,3.504
12350.000,3.519
12360.000,3.538
12370.000,3.559
12380.000,3.557
12390.000,3.563
12400.000,3.558
12410.000,3.552
12420.000,3.555
12430.000,3.559
12440.000,3.562
12450.000,3.549
12460.000,3.540
12470.000,3.554
12480.000,3.569
12490.000,3.570
12500.000,3.587
12510.000,3.603
12520.000,3.608
12530.000,3.619
12540.000,3.602
12550.000,3.602
12560.000,3.609
12570.000,3.609
12580.000,3.605
12590.000,3.622
12600.000,3.607
12610.000,3.596
12620.000,3.580
12630.000,3.582
12640.000,3.579
12650.000,3.584
12660.000,3.602
12670.000,3.599
12680.000,3.604
12690.000,3.593
12700.000,3.593
12710.000,3.604
12720.000,3.603
12730.000,3.593
12740.000,3.606
12750.000,3.597
12760.000,3.602
12770.000,3.603
12780.000,3.583
12790.000,3.617
12800.000,3.623
12810.000,3.622
12820.000,3.643
12830.000,3.644
12840.000,3.617
12850.000,3.639
12860.000,3.652
12870.000,3.666
12880.000,3.650
12890.000,3.671
12900.000,3.671
12910.000,3.688
12920.000,3.690
12930.000,3.677
12940.000,3.697
12950.000,3.715
12960.000,3.709
12970.000,3.721
12980.000,3.736
12990.000,3.742
13000.000,3.756
13010.000,3.750
13020.000,3.754
13030.000,3.768
13040.000,3.743
13050.000,3.727
13060.000,3.750
13070.000,3.749
13080.000,3.751
13090.000,3.755
13100.000,3.755
13110.000,3.760
13120.000,3.770
13130.000,3.789
13140.000,3.786
13150.000,3.804
13160.000,3.779
13170.000,3.785
13180.000,3.799
13190.000,3.793
13200.000,3.798
13210.000,3.815
13220.000,3.813
13230.000,3.803
13240.000,3.804
13250.000,3.819
13260.000,3.832
13270.000,3.829
13280.000,3.823
13290.000,3.839
13300.000,3.842
13310.000,3.823
13320.000,3.808
13330.000,3.826
13340.000,3.830
13350.000,3.818
13360.000,3.810
13370.000,3.806
13380.000,3.812
13390.000,3.823
13400.000,3.807
13410.000,3.827
13420.000,3.814
13430.000,3.817
